127.0.0.1 - - [26/Jan/2024:09:30:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:31:22 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:31:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:32:32 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:36:45 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:41:51 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:44:26 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 500 2225
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:46:46 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:04:45 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:04:48 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:16:32 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:18:05 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:40:58 +0530] "GET /web_app_4/NewFile.jsp HTTP/1.1" 200 162
